"Name","Value"
"210","17260"
"a380","59817"
"a750","105900"
"a770","127890"
"gt-1030","30607"
"gt-710","17290"
"gt-730","20830"
"gtx-1050-ti","59990"
"gtx-1630","52670"
"gtx-1650","62360"
"gtx-1660","96000"
"gtx-1660-super","94900"
"gtx-1660-ti","109964"
"p1000","121412"
"p2000","236390"
"p2200","230150"
"p400","50780"
"r7-240","31575"
"rtx-2060","107400"
"rtx-2060-super","218161"
"rtx-3050","93890"
"rtx-3060","116497"
"rtx-3060-ti","144890"
"rtx-3070","169999"
"rtx-3070-ti","227970"
"rtx-3080","323990"
"rtx-3080-ti","529900"
"rtx-3090","461791"
"rtx-4000","716760"
"rtx-4060","125255"
"rtx-4060-ti","165590"
"rtx-4070","254910"
"rtx-4070-ti","340490"
"rtx-4080","484900"
"rtx-4090","706640"
"rtx-a2000","207627"
"rtx-a4000","211836"
"rtx-a4500","501520"
"rtx-a5000","1034092"
"rtx-a6000","2279660"
"rx-550","31330"
"rx-560","40090"
"rx-580","124900"
"rx-6400","61843"
"rx-6500-xt","69600"
"rx-6600","83090"
"rx-6600-xt","156023"
"rx-6650-xt","99950"
"rx-6700","122590"
"rx-6700-xt","141500"
"rx-6750-xt","160370"
"rx-6800","205410"
"rx-6800-xt","231690"
"rx-6900-xt","310990"
"rx-6950-xt","354250"
"rx-7600","114830"
"rx-7700-xt","203330"
"rx-7800-xt","236550"
"rx-7900-xt","344990"
"rx-7900-xtx","441690"
"w7600","281335"
"w7800","1115120"
"w7900","1856990"
"wx-3200","74240"
"wx-5100","96063"
