"Name","Value"
"210","15810"
"gt-1030","38690"
"gt-710","30120"
"gt-730","27750"
"gtx-1050-ti","82490"
"gtx-1060","193750"
"gtx-1650","94090"
"gtx-1650-super","179990"
"gtx-1660","152290"
"gtx-1660-super","161995"
"gtx-1660-ti","157710"
"p1000","131990"
"p2000","197197"
"p2200","226550"
"p400","47357"
"p620","71690"
"r7-240","47890"
"rtx-2060","172740"
"rtx-2060-super","254730"
"rtx-3050","178662"
"rtx-3060","223770"
"rtx-3060-ti","277090"
"rtx-3070","327770"
"rtx-3070-ti","364490"
"rtx-3080","457470"
"rtx-3080-ti","619900"
"rtx-3090","919300"
"rtx-4000","355770"
"rtx-5000","765051"
"rtx-6000","1582611"
"rtx-8000","2526242"
"rx-550","47990"
"rx-560","81380"
"rx-6500-xt","99960"
"rx-6600","186620"
"rx-6600-xt","225500"
"rx-6700-xt","309550"
"rx-6800","462725"
"rx-6800-xt","478550"
"rx-6900-xt","547500"
"wx-2100","74900"
"wx-3100","97000"
