"Name","Value"
"210","15620"
"a380","52810"
"a580","74240"
"a750","93000"
"a770","128300"
"gt-1030","29200"
"gt-710","16050"
"gt-730","20600"
"gtx-1630","48140"
"gtx-1650","65500"
"gtx-1660","117995"
"gtx-1660-super","106270"
"gtx-1660-ti","106833"
"p1000","114890"
"p2000","210986"
"p2200","289245"
"p400","57901"
"r7-240","30620"
"rtx-2060","129034"
"rtx-2060-super","220090"
"rtx-3050","89995"
"rtx-3060","109990"
"rtx-3060-ti","163600"
"rtx-3070","183600"
"rtx-3070-ti","258869"
"rtx-3080","310590"
"rtx-3080-ti","429990"
"rtx-3090","959000"
"rtx-4000","416222"
"rtx-4060","126080"
"rtx-4060-ti","163010"
"rtx-4070","227890"
"rtx-4070-super","269590"
"rtx-4070-ti","319290"
"rtx-4070-ti-super","391170"
"rtx-4080","474890"
"rtx-4090","794280"
"rtx-4500","1284910"
"rtx-5000","922481"
"rtx-6000","1151961"
"rtx-8000","3403871"
"rtx-a2000","217500"
"rtx-a4000","461155"
"rtx-a4500","692900"
"rtx-a5000","1054391"
"rtx-a6000","2162320"
"rx-550","36885"
"rx-560","46900"
"rx-580","124900"
"rx-6400","46930"
"rx-6500-xt","70990"
"rx-6600","86500"
"rx-6600-xt","149995"
"rx-6700","114690"
"rx-6700-xt","147950"
"rx-6750-xt","150690"
"rx-6800","166990"
"rx-6800-xt","221900"
"rx-6900-xt","367129"
"rx-7600","110460"
"rx-7700-xt","181990"
"rx-7800-xt","220490"
"rx-7900","252230"
"rx-7900-gre","268000"
"rx-7900-xt","333090"
"rx-7900-xtx","408990"
"w7600","263489"
"w7800","1059900"
"w7900","1696900"
"wx-2100","88425"
"wx-3100","105460"
"wx-3200","77890"
"wx-5100","123332"
"wx-7100","344808"
