"Name","Value"
"210","21650"
"gt-1030","39248"
"gt-710","27910"
"gt-730","26009"
"gtx-1050-ti","119900"
"gtx-1060","191900"
"gtx-1650","138950"
"gtx-1650-super","226990"
"gtx-1660","209990"
"gtx-1660-super","247990"
"gtx-1660-ti","231980"
"p1000","130690"
"p2000","226260"
"p2200","289750"
"p400","46720"
"p620","67470"
"r7-240","51780"
"rtx-2060","250150"
"rtx-2060-super","416300"
"rtx-3060","289900"
"rtx-3060-ti","374990"
"rtx-3070","474950"
"rtx-3070-ti","529990"
"rtx-3080","582090"
"rtx-3080-ti","858620"
"rtx-3090","1240240"
"rtx-4000","365550"
"rtx-5000","856820"
"rtx-6000","1993760"
"rtx-8000","2928449"
"rx-550","58020"
"rx-560","125990"
"rx-6600","242240"
"rx-6600-xt","271640"
"rx-6700-xt","403990"
"rx-6800","599900"
"rx-6800-xt","598940"
"rx-6900-xt","611240"
"wx-2100","128902"
"wx-3200","3185470"
