"Name","Value"
"210","15840"
"a380","69168"
"a750","101900"
"a770","115990"
"gt-1030","31550"
"gt-710","17390"
"gt-730","21350"
"gtx-1050-ti","69990"
"gtx-1630","60980"
"gtx-1650","56390"
"gtx-1660","96000"
"gtx-1660-super","94900"
"gtx-1660-ti","110696"
"p1000","131590"
"p2000","248990"
"p2200","232344"
"p400","50780"
"r7-240","31900"
"rtx-2060","108749"
"rtx-2060-super","221690"
"rtx-3050","93554"
"rtx-3060","114470"
"rtx-3060-ti","144890"
"rtx-3070","169999"
"rtx-3070-ti","223860"
"rtx-3080","318282"
"rtx-3080-ti","559900"
"rtx-3090","461791"
"rtx-4000","566786"
"rtx-4060","122990"
"rtx-4060-ti","164990"
"rtx-4070","254991"
"rtx-4070-ti","336090"
"rtx-4080","489990"
"rtx-4090","695390"
"rtx-a2000","229387"
"rtx-a4000","452418"
"rtx-a4500","509730"
"rtx-a5000","929883"
"rtx-a6000","2288840"
"rx-550","31337"
"rx-560","39370"
"rx-580","124900"
"rx-6400","52999"
"rx-6500-xt","68520"
"rx-6600","83890"
"rx-6600-xt","156023"
"rx-6650-xt","99950"
"rx-6700","122590"
"rx-6700-xt","140300"
"rx-6750-xt","161360"
"rx-6800","208790"
"rx-6800-xt","229490"
"rx-6900-xt","295600"
"rx-6950-xt","301890"
"rx-7600","113840"
"rx-7700-xt","207880"
"rx-7800-xt","235990"
"rx-7900-xt","344990"
"rx-7900-xtx","439670"
"w7600","281583"
"w7800","1133890"
"w7900","1911744"
"wx-3200","74240"
"wx-5100","107613"
