"Name","Value"
"210","15340"
"gt-1030","34390"
"gt-710","24100"
"gt-730","27120"
"gtx-1050-ti","58890"
"gtx-1060","193750"
"gtx-1650","82790"
"gtx-1650-super","127370"
"gtx-1660","136670"
"gtx-1660-super","139990"
"gtx-1660-ti","128995"
"p1000","133318"
"p2000","230086"
"p2200","277570"
"p400","51190"
"p620","72890"
"r7-240","46786"
"rtx-2060","154390"
"rtx-2060-super","216028"
"rtx-3050","141471"
"rtx-3060","186090"
"rtx-3060-ti","247810"
"rtx-3070","312900"
"rtx-3070-ti","321990"
"rtx-3080","422890"
"rtx-3080-ti","529010"
"rtx-3090","786430"
"rtx-3090-ti","918830"
"rtx-4000","359500"
"rtx-5000","754250"
"rtx-8000","2747634"
"rx-550","47990"
"rx-5500-xt","251680"
"rx-560","66990"
"rx-580","199076"
"rx-6500-xt","84220"
"rx-6600","154410"
"rx-6600-xt","183520"
"rx-6700-xt","272200"
"rx-6800","381200"
"rx-6800-xt","402330"
"rx-6900-xt","453970"
"wx-2100","70590"
"wx-3100","94680"
"wx-3200","95350"
