"Name","Value"
"210","15840"
"a380","59817"
"a750","105900"
"a770","127890"
"gt-1030","30760"
"gt-710","17290"
"gt-730","21110"
"gtx-1050-ti","59990"
"gtx-1630","52570"
"gtx-1650","62950"
"gtx-1660","96000"
"gtx-1660-super","94040"
"gtx-1660-ti","110521"
"p1000","122428"
"p2000","236390"
"p2200","229680"
"p400","50780"
"r7-240","31575"
"rtx-2060","102350"
"rtx-2060-super","218750"
"rtx-3050","93554"
"rtx-3060","116990"
"rtx-3060-ti","144890"
"rtx-3070","169999"
"rtx-3070-ti","227970"
"rtx-3080","323990"
"rtx-3080-ti","529900"
"rtx-3090","461791"
"rtx-4000","724760"
"rtx-4060","125255"
"rtx-4060-ti","165590"
"rtx-4070","254910"
"rtx-4070-ti","340490"
"rtx-4080","489990"
"rtx-4090","705210"
"rtx-a2000","207627"
"rtx-a4000","211836"
"rtx-a4500","501520"
"rtx-a5000","1044590"
"rtx-a6000","2264940"
"rx-550","31330"
"rx-560","40090"
"rx-580","124900"
"rx-6400","61843"
"rx-6500-xt","68520"
"rx-6600","83090"
"rx-6600-xt","156023"
"rx-6650-xt","99950"
"rx-6700","122590"
"rx-6700-xt","142880"
"rx-6750-xt","160370"
"rx-6800","205410"
"rx-6800-xt","232151"
"rx-6900-xt","299999"
"rx-6950-xt","301890"
"rx-7600","113840"
"rx-7700-xt","203330"
"rx-7800-xt","236550"
"rx-7900-xt","344990"
"rx-7900-xtx","441690"
"w7600","281335"
"w7800","1120050"
"w7900","1856990"
"wx-3200","74240"
"wx-5100","99291"
