"Name","Value"
"210","21361"
"a380","55530"
"a750","98690"
"a770","118490"
"gt-1030","30380"
"gt-710","17500"
"gt-730","23046"
"gtx-1050-ti","68905"
"gtx-1060","79900"
"gtx-1630","49680"
"gtx-1650","59190"
"gtx-1660","96000"
"gtx-1660-super","89990"
"gtx-1660-ti","112289"
"p1000","140250"
"p2000","214730"
"p2200","211909"
"p400","50390"
"p620","87031"
"r7-240","35990"
"rtx-2060","109800"
"rtx-2060-super","519217"
"rtx-3050","88990"
"rtx-3060","106290"
"rtx-3060-ti","132110"
"rtx-3070","170770"
"rtx-3070-ti","231700"
"rtx-3080","293002"
"rtx-3080-ti","306104"
"rtx-3090","569000"
"rtx-4000","455460"
"rtx-4060","127610"
"rtx-4060-ti","165990"
"rtx-4070","249047"
"rtx-4070-ti","310241"
"rtx-4080","482120"
"rtx-4090","644490"
"rtx-5000","860453"
"rtx-6000","1108811"
"rtx-8000","3717037"
"rtx-a2000","188320"
"rtx-a4000","189357"
"rtx-a4500","539070"
"rtx-a5000","928987"
"rtx-a6000","2194483"
"rx-550","32271"
"rx-560","43900"
"rx-570","68490"
"rx-580","158990"
"rx-6400","56420"
"rx-6500-xt","61800"
"rx-6600","78423"
"rx-6600-xt","142674"
"rx-6650-xt","94806"
"rx-6700","131560"
"rx-6700-xt","139409"
"rx-6750-xt","157790"
"rx-6800","214989"
"rx-6800-xt","221107"
"rx-6900-xt","279990"
"rx-6950-xt","292140"
"rx-7600","113284"
"rx-7900-xt","331990"
"rx-7900-xtx","404400"
"wx-2100","76040"
"wx-3100","108900"
"wx-3200","69799"
"wx-4100","235640"
"wx-5100","124440"
"wx-7100","344000"
"wx-8200","448990"
