"Name","Value"
"210","14790"
"a310","40670"
"a380","50130"
"a580","77990"
"a750","87720"
"a770","119200"
"gt-1030","27280"
"gt-210","12460"
"gt-610","15120"
"gt-710","15800"
"gt-730","21570"
"gtx-1050","52440"
"gtx-1050-ti","61670"
"gtx-1650","57400"
"gtx-1660","99995"
"gtx-1660-super","123900"
"gtx-1660-ti","88450"
"p1000","154930"
"p2200","207021"
"p400","93082"
"r7-240","29000"
"rtx-2000","305340"
"rtx-2060","125995"
"rtx-3050","73190"
"rtx-3060","109590"
"rtx-3060-ti","149990"
"rtx-3070","176530"
"rtx-3070-ti","234999"
"rtx-3080","248620"
"rtx-3080-ti","303799"
"rtx-3090","959000"
"rtx-4000","477197"
"rtx-4060","119286"
"rtx-4060-ti","155900"
"rtx-4070","219990"
"rtx-4070-super","248539"
"rtx-4070-ti","302140"
"rtx-4070-ti-super","346900"
"rtx-4080","444270"
"rtx-4080-super","446690"
"rtx-4090","760390"
"rtx-4500","1254699"
"rtx-5000","712470"
"rtx-6000","1301118"
"rtx-8000","2936681"
"rtx-a1000","181340"
"rtx-a2000","194180"
"rtx-a4000","429320"
"rtx-a4500","826722"
"rtx-a5000","1120187"
"rtx-a5500","2403630"
"rtx-a6000","2076100"
"rx-550","30800"
"rx-560","49190"
"rx-570","81440"
"rx-580","49490"
"rx-6400","50430"
"rx-6500-xt","62890"
"rx-6600","85880"
"rx-6600-xt","159990"
"rx-6650-xt","147670"
"rx-6700-xt","155000"
"rx-6750-xt","144990"
"rx-6800","165890"
"rx-6800-xt","209830"
"rx-6950-xt","279780"
"rx-7600","109990"
"rx-7600-xt","130910"
"rx-7700-xt","177413"
"rx-7800-xt","213303"
"rx-7900","253350"
"rx-7900-gre","240000"
"rx-7900-xt","321943"
"rx-7900-xtx","395000"
"t1000","140099"
"t400","61290"
"t600","305565"
"w5500","245590"
"w5700","93530"
"w6400","83990"
"w6600","119990"
"w7500","192460"
"w7600","267540"
"w7800","1008160"
"w7900","1662180"
"wx-3100","109959"
"wx-3200","50784"
"wx-5100","133980"
"wx-7100","390619"
"wx-8200","211935"
