"Name","Value"
"210","15620"
"a380","53180"
"a580","73840"
"a750","93000"
"a770","127990"
"gt-1030","29624"
"gt-710","16150"
"gt-730","20600"
"gtx-1630","48140"
"gtx-1650","62140"
"gtx-1660","117995"
"gtx-1660-super","106560"
"gtx-1660-ti","156413"
"p1000","114330"
"p2000","236390"
"p2200",
"p400","58900"
"r7-240","30590"
"rtx-2060","110990"
"rtx-2060-super","232990"
"rtx-3050","89995"
"rtx-3060","109990"
"rtx-3060-ti","160998"
"rtx-3070","183600"
"rtx-3070-ti","258879"
"rtx-3080","312191"
"rtx-3080-ti","429990"
"rtx-3090","959000"
"rtx-4000","572360"
"rtx-4060","120730"
"rtx-4060-ti","163650"
"rtx-4070","227890"
"rtx-4070-super","269490"
"rtx-4070-ti","320290"
"rtx-4070-ti-super","395240"
"rtx-4080","476390"
"rtx-4090","807980"
"rtx-4500","1339000"
"rtx-5000",
"rtx-6000",
"rtx-8000",
"rtx-a2000","214683"
"rtx-a4000","460970"
"rtx-a4500","700900"
"rtx-a5000","1063430"
"rtx-a6000","2194500"
"rx-550","36890"
"rx-560","47589"
"rx-580","124900"
"rx-6400","53090"
"rx-6500-xt","72090"
"rx-6600","86072"
"rx-6600-xt","149995"
"rx-6700","114990"
"rx-6700-xt","149290"
"rx-6750-xt","151500"
"rx-6800","166990"
"rx-6800-xt","223590"
"rx-6900-xt","279999"
"rx-7600","112940"
"rx-7700-xt","184990"
"rx-7800-xt","215170"
"rx-7900","252230"
"rx-7900-gre","268000"
"rx-7900-xt","321385"
"rx-7900-xtx","408990"
"w7600","266690"
"w7800","1044320"
"w7900","1712540"
"wx-2100",
"wx-3100",
"wx-3200","78690"
"wx-5100",
"wx-7100",
