"Name","Value"
"210","20400"
"a380","80570"
"a750","157300"
"gt-1030","37548"
"gt-710","21020"
"gt-730","28900"
"gtx-1050-ti","84900"
"gtx-1060","151170"
"gtx-1630","71700"
"gtx-1650","79100"
"gtx-1650-super","113900"
"gtx-1660","110930"
"gtx-1660-super","115900"
"gtx-1660-ti","120000"
"p1000","167542"
"p2000","228730"
"p2200","235710"
"p400","54990"
"r7-240","46786"
"rtx-2060","124196"
"rtx-2060-super","146590"
"rtx-3050","127000"
"rtx-3060","147520"
"rtx-3060-ti","203900"
"rtx-3070","258290"
"rtx-3070-ti","289990"
"rtx-3080","369390"
"rtx-3080-ti","504090"
"rtx-3090","700090"
"rtx-3090-ti","676700"
"rtx-4000","466180"
"rtx-4080","666330"
"rtx-4090","897490"
"rtx-5000","679390"
"rx-550","38388"
"rx-560","76520"
"rx-580","81290"
"rx-6400","63835"
"rx-6500-xt","81280"
"rx-6600","120824"
"rx-6600-xt","170244"
"rx-6650-xt","147990"
"rx-6700","169980"
"rx-6700-xt","187950"
"rx-6750-xt","212890"
"rx-6800","243390"
"rx-6800-xt","297990"
"rx-6900-xt","349190"
"rx-6950-xt","400480"
"wx-2100","76810"
"wx-3100","97390"
"wx-3200","101760"
"wx-5100","177310"
"wx-8200","361290"
