"Name","Value"
"210","13560"
"gt-1030","29600"
"gt-710","13294"
"gt-730","22650"
"gtx-1050-ti","84900"
"gtx-1060","170093"
"gtx-1650","98880"
"gtx-1650-super","161300"
"gtx-1660","199770"
"gtx-1660-super","212399"
"gtx-1660-ti","249770"
"p1000","121150"
"p2000","176900"
"p2200","177270"
"p400","43810"
"p4000","312640"
"p620","63000"
"r7-240","35030"
"rtx-2060","221599"
"rtx-3060","364990"
"rtx-3070","609900"
"rtx-3080","979990"
"rtx-3090","1199990"
"rtx-4000","376450"
"rtx-5000","741810"
"rtx-6000","1995090"
"rtx-8000","2610080"
"rx-550","48990"
"rx-5500-xt","262270"
"rx-5700-xt","579310"
"rx-580","246230"
"rx-6700-xt","419990"
"rx-6800-xt","629990"
"rx-6900-xt","689990"
