"Name","Value"
"210","21789"
"gt-1030","40291"
"gt-710","22000"
"gt-730","28900"
"gtx-1050-ti","84600"
"gtx-1060","151170"
"gtx-1630","67300"
"gtx-1650","79990"
"gtx-1650-super","112900"
"gtx-1660","113840"
"gtx-1660-super","115990"
"gtx-1660-ti","113320"
"p1000","162400"
"p2000","240200"
"p2200","230800"
"p400","54990"
"r7-240","46786"
"rtx-2060","124870"
"rtx-2060-super","133170"
"rtx-3050","127000"
"rtx-3060","149900"
"rtx-3060-ti","204500"
"rtx-3070","244820"
"rtx-3070-ti","300130"
"rtx-3080","379699"
"rtx-3080-ti","444499"
"rtx-3090","637740"
"rtx-3090-ti","598499"
"rtx-4000","441700"
"rtx-4080","696570"
"rtx-4090","900490"
"rtx-5000","691600"
"rx-550","39261"
"rx-560","78012"
"rx-580","77553"
"rx-6400","63568"
"rx-6500-xt","81900"
"rx-6600","115240"
"rx-6600-xt","170500"
"rx-6650-xt","162150"
"rx-6700","171650"
"rx-6700-xt","194931"
"rx-6750-xt","215370"
"rx-6800","251460"
"rx-6800-xt","284620"
"rx-6900-xt","349990"
"rx-6950-xt","404000"
"wx-2100","77110"
"wx-3100","99990"
"wx-3200","101000"
"wx-5100","185520"
"wx-8200","375790"
