"Name","Value"
"210",
"gt-1030","29990"
"gt-710","18099"
"gt-730","24340"
"gtx-1050-ti","99899"
"gtx-1650","124900"
"gtx-1650-super","159990"
"gtx-1660","199390"
"gtx-1660-super","247000"
"gtx-1660-ti","219900"
"p1000","129900"
"p2000","206240"
"p2200","189050"
"p400","45780"
"p4000","515490"
"p620","48860"
"rtx-2060","258995"
"rtx-2060-super","322732"
"rtx-3060","306020"
"rtx-3060-ti","339500"
"rtx-3070","349628"
"rtx-3070-ti","439990"
"rtx-3080","576440"
"rtx-3080-ti","749990"
"rtx-3090","1031790"
"rtx-4000","412443"
"rtx-5000","896200"
"rtx-6000","1584170"
"rtx-8000","2222990"
"rx-550","65950"
"rx-5500-xt","279990"
"rx-560","93995"
"rx-580","245060"
"rx-6600","249995"
"rx-6600-xt","299990"
"rx-6700-xt","396040"
"rx-6800","659420"
"rx-6800-xt","593490"
"rx-6900-xt","660970"
"wx-5100","165600"
"wx-7100","500696"
"wx-8200","499059"
