"Name","Value"
"210","15930"
"a310","46270"
"a380","53900"
"a580","77990"
"a750","89690"
"a770","127990"
"gt-1030","26700"
"gt-210","13260"
"gt-610","16090"
"gt-710","16000"
"gt-730","21010"
"gtx-1050-ti","74747"
"gtx-1630","67388"
"gtx-1650","60080"
"gtx-1660","110740"
"gtx-1660-super","106560"
"gtx-1660-ti","112589"
"p1000","123810"
"p2000","228862"
"p2200","288884"
"p400","65484"
"r7-240","30000"
"rtx-2000","326470"
"rtx-2060","129995"
"rtx-2060-super","235279"
"rtx-3050","77100"
"rtx-3060","109990"
"rtx-3060-ti","154700"
"rtx-3070","187760"
"rtx-3070-ti","222190"
"rtx-3080","322690"
"rtx-3080-ti","409990"
"rtx-3090","506672"
"rtx-3090-ti","567589"
"rtx-4000","467396"
"rtx-4060","123160"
"rtx-4060-ti","153990"
"rtx-4070","226890"
"rtx-4070-super","255790"
"rtx-4070-ti","284990"
"rtx-4070-ti-super","346900"
"rtx-4080","436720"
"rtx-4080-super","448990"
"rtx-4090","771030"
"rtx-4500","1256090"
"rtx-5000","953233"
"rtx-6000","1273960"
"rtx-8000","2962999"
"rtx-a2000","220088"
"rtx-a4000","432652"
"rtx-a4500","818952"
"rtx-a5000","1089558"
"rtx-a5500","2290795"
"rtx-a6000","2040560"
"rx-550","30990"
"rx-5500-xt","87204"
"rx-560","49815"
"rx-570","80410"
"rx-580","52490"
"rx-6400","51720"
"rx-6500-xt","61560"
"rx-6600","81790"
"rx-6600-xt","141860"
"rx-6700-xt","154990"
"rx-6750-xt","154890"
"rx-6800","163490"
"rx-6800-xt","215990"
"rx-6900-xt","249999"
"rx-6950-xt","387758"
"rx-7600","107990"
"rx-7600-xt","145430"
"rx-7700-xt","182890"
"rx-7800-xt","208990"
"rx-7900","244790"
"rx-7900-gre","250170"
"rx-7900-xt","311900"
"rx-7900-xtx","404400"
"t1000","134050"
"t400","52901"
"t600","128238"
"w5500","213290"
"w5700","107387"
"w6400","94990"
"w6600","119762"
"w6800","610210"
"w7500","204750"
"w7600","280780"
"w7800","1081160"
"w7900","1693097"
"wx-2100","89759"
"wx-3100","118712"
"wx-3200","68478"
"wx-5100","125105"
"wx-7100","386075"
"wx-8200","320685"
