"Name","Value"
"gt-1030","29990"
"gt-710","18099"
"gt-730","24340"
"gtx-1050-ti","99899"
"gtx-1650","124900"
"gtx-1650-super","159990"
"gtx-1660","209901"
"gtx-1660-super","245995"
"gtx-1660-ti","221870"
"p1000","129900"
"p2000","206230"
"p2200","201240"
"p400","45780"
"p4000","515490"
"p620","48860"
"rtx-2060","258995"
"rtx-2060-super","322720"
"rtx-3060","306600"
"rtx-3060-ti","339500"
"rtx-3070","349628"
"rtx-3070-ti","439990"
"rtx-3080","569990"
"rtx-3080-ti","749990"
"rtx-3090","1037590"
"rtx-4000","416071"
"rtx-5000","896200"
"rtx-6000","1584170"
"rtx-8000","2222990"
"rx-550","66070"
"rx-5500-xt","279990"
"rx-560","91820"
"rx-580","245060"
"rx-6600","259995"
"rx-6600-xt","299990"
"rx-6700-xt","397100"
"rx-6800","681820"
"rx-6800-xt","629990"
"rx-6900-xt","593547"
"wx-3100","77216"
"wx-5100","165600"
"wx-7100","502230"
"wx-8200","492020"
