"Name","Value"
"210","25740"
"gt-1030","40400"
"gt-710","23720"
"gt-730","27350"
"gtx-1050-ti","77900"
"gtx-1060","193750"
"gtx-1650","89990"
"gtx-1650-super","145800"
"gtx-1660","124990"
"gtx-1660-super","127610"
"gtx-1660-ti","125995"
"p1000","135450"
"p2000","226260"
"p2200","271160"
"p400","43900"
"p620","71900"
"r7-240","46786"
"rtx-2060","142670"
"rtx-2060-super","215990"
"rtx-3050","144900"
"rtx-3060","179890"
"rtx-3060-ti","205490"
"rtx-3070","264160"
"rtx-3070-ti","304220"
"rtx-3080","364140"
"rtx-3080-ti","471259"
"rtx-3090","548560"
"rtx-3090-ti","722090"
"rtx-4000","393700"
"rtx-5000","759714"
"rtx-8000","2854700"
"rx-550","49010"
"rx-560","66990"
"rx-580","100405"
"rx-6400","69000"
"rx-6500-xt","81900"
"rx-6600","135990"
"rx-6600-xt","169990"
"rx-6650-xt","187460"
"rx-6700-xt","208790"
"rx-6750-xt","249890"
"rx-6800","308077"
"rx-6800-xt","340740"
"rx-6900-xt","350368"
"rx-6950-xt","508990"
"wx-2100","82810"
"wx-3100","107390"
"wx-3200","104890"
"wx-4100","131190"
"wx-5100","239720"
