"Name","Value"
"210","14790"
"a310","41080"
"a380","50430"
"a580","78470"
"a750","87390"
"a770","103300"
"gt-1030","27500"
"gt-210","12700"
"gt-610","15470"
"gt-710","15300"
"gt-730","19400"
"gtx-1050","51430"
"gtx-1050-ti","61670"
"gtx-1630","59569"
"gtx-1650","57740"
"gtx-1660","90000"
"gtx-1660-super","123900"
"gtx-1660-ti","88460"
"p1000","115690"
"p2200","206501"
"p400","92848"
"r7-240","31100"
"rtx-2000","306870"
"rtx-2060","125995"
"rtx-3050","73300"
"rtx-3060","106990"
"rtx-3060-ti","149970"
"rtx-3070","207770"
"rtx-3070-ti","229990"
"rtx-3090","450000"
"rtx-4000","299999"
"rtx-4060","122710"
"rtx-4060-ti","154900"
"rtx-4070","227890"
"rtx-4070-super","246300"
"rtx-4070-ti","311940"
"rtx-4070-ti-super","344990"
"rtx-4080","414990"
"rtx-4080-super","435900"
"rtx-4090","791540"
"rtx-4500","1208000"
"rtx-5000","699620"
"rtx-6000","1997579"
"rtx-8000","2820587"
"rtx-a1000","182990"
"rtx-a2000","230480"
"rtx-a4000","432520"
"rtx-a4500","890190"
"rtx-a5000","1113372"
"rtx-a6000","1983320"
"rx-550","30900"
"rx-5500-xt","88734"
"rx-560","49270"
"rx-570","81850"
"rx-580","49630"
"rx-6400","49100"
"rx-6500-xt","62510"
"rx-6600","84590"
"rx-6600-xt","159990"
"rx-6650-xt","101080"
"rx-6700-xt","157490"
"rx-6750-xt","141990"
"rx-6800","164490"
"rx-6800-xt","194699"
"rx-6950-xt","265070"
"rx-7600","111790"
"rx-7600-xt","137240"
"rx-7700-xt","170470"
"rx-7800-xt","208390"
"rx-7900-gre","241890"
"rx-7900-xt","300480"
"rx-7900-xtx","396900"
"t1000","133590"
"t400","62300"
"t600","307708"
"w5500","146990"
"w5700","96148"
"w6400","81990"
"w6600","374886"
"w7500","163990"
"w7600","239990"
"w7700","412990"
"w7800","898450"
"w7900","1418140"
"wx-3100","59351"
"wx-3200","52578"
"wx-5100","159005"
"wx-7100","373981"
